Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas
Terung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Mustang F1
Terung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Laguna F1
Terung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Laguna F1
Terung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Laguna F1
Terung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Laguna F1
Terung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Laguna F1
Terung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Laguna F1
Terung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Laguna F1
Terung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Laguna F1
Terung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Laguna F1
Terung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Laguna F1
Terung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Laguna F1
Terung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Laguna F1
Terung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Laguna F1
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Laguna F1
Terung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Laguna F1
Terung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Laguna F1
Terung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Laguna F1
Terung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Laguna F1
Terung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Laguna F1
Terung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Laguna F1
Terung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Laguna F1
Terung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Laguna F1
Terung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Laguna F1
Terung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Laguna F1
Terung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Laguna F1
Terung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Laguna F1
Terung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Laguna F1
Terung,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Antaboga
Terung,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Antaboga
Terung,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Antaboga
Terung,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Antaboga
Terung,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Antaboga
Terung,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Antaboga
Terung,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Antaboga
Terung,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Antaboga
Terung,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Antaboga
Terung,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Antaboga
Terung,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Antaboga
Terung,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Antaboga
Terung,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Antaboga
Terung,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Antaboga
Terung,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Antaboga
Terung,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Antaboga
Terung,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Antaboga
Terung,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Antaboga
Terung,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Antaboga
Terung,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Antaboga
Terung,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Antaboga
Terung,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Antaboga
Terung,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Antaboga
Terung,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Antaboga
Terung,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Antaboga
Terung,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Antaboga
Terung,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Antaboga
Cabe Rawit,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Dewata F1
Cabe Rawit,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Dewata F1
Cabe Rawit,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Dewata F1
Cabe Rawit,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Dewata F1
Cabe Rawit,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Dewata F1
Cabe Rawit,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Dewata F1
Cabe Rawit,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Dewata F1
Cabe Rawit,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Dewata F1
Cabe Rawit,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Dewata F1
Cabe Rawit,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Dewata F1
Cabe Rawit,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Dewata F1
Cabe Rawit,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Dewata F1
Cabe Rawit,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Dewata F1
Cabe Rawit,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Dewata F1
Cabe Rawit,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Dewata F1
Cabe Rawit,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Dewata F1
Cabe Rawit,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Dewata F1
Cabe Rawit,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Dewata F1
Cabe Rawit,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Dewata F1
Cabe Rawit,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Dewata F1
Cabe Rawit,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Dewata F1
Cabe Rawit,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Dewata F1
Cabe Rawit,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Dewata F1
Cabe Rawit,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Dewata F1
Cabe Rawit,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Dewata F1
Cabe Rawit,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Dewata F1
Cabe Rawit,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Dewata F1
Cabe Rawit,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Bara
Cabe Rawit,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Bara
Cabe Rawit,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Bara
Cabe Rawit,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Bara
Cabe Rawit,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Bara
Cabe Rawit,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Bara
Cabe Rawit,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Bara
Cabe Rawit,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Bara
Cabe Rawit,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Bara
Cabe Rawit,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Bara
Cabe Rawit,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Bara
Cabe Rawit,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Bara
Cabe Rawit,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Bara
Cabe Rawit,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Bara
Cabe Rawit,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Bara
Cabe Rawit,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Bara
Cabe Rawit,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Bara
Cabe Rawit,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Bara
Cabe Rawit,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Bara
Cabe Rawit,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Bara
Cabe Rawit,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Bara
Cabe Rawit,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Bara
Cabe Rawit,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Bara
Cabe Rawit,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Bara
Cabe Rawit,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Bara
Cabe Rawit,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Bara
Cabe Rawit,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Bara
Cabe Rawit,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Taruna
Cabe Rawit,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Taruna
Cabe Rawit,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Taruna
Cabe Rawit,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Taruna
Cabe Rawit,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Taruna
Cabe Rawit,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Taruna
Cabe Rawit,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Taruna
Cabe Rawit,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Taruna
Cabe Rawit,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Taruna
Cabe Rawit,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Taruna
Cabe Rawit,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Taruna
Cabe Rawit,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Taruna
Cabe Rawit,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Taruna
Cabe Rawit,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Taruna
Cabe Rawit,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Taruna
Cabe Rawit,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Taruna
Cabe Rawit,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Taruna
Cabe Rawit,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Taruna
Cabe Rawit,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Taruna
Cabe Rawit,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Taruna
Cabe Rawit,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Taruna
Cabe Rawit,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Taruna
Cabe Rawit,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Taruna
Cabe Rawit,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Taruna
Cabe Rawit,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Taruna
Cabe Rawit,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Taruna
Cabe Rawit,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Taruna
Cabe Keriting,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,TM 999
Cabe Keriting,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,TM 999
Cabe Keriting,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,TM 999
Cabe Keriting,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,TM 999
Cabe Keriting,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,TM 999
Cabe Keriting,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,TM 999
Cabe Keriting,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,TM 999
Cabe Keriting,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,TM 999
Cabe Keriting,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,TM 999
Cabe Keriting,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,TM 999
Cabe Keriting,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,TM 999
Cabe Keriting,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,TM 999
Cabe Keriting,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,TM 999
Cabe Keriting,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,TM 999
Cabe Keriting,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,TM 999
Cabe Keriting,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,TM 999
Cabe Keriting,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,TM 999
Cabe Keriting,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,TM 999
Cabe Keriting,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,TM 999
Cabe Keriting,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,TM 999
Cabe Keriting,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,TM 999
Cabe Keriting,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,TM 999
Cabe Keriting,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,TM 999
Cabe Keriting,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,TM 999
Cabe Keriting,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,TM 999
Cabe Keriting,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,TM 999
Cabe Keriting,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,TM 999
Cabe Keriting,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Lado F1
Cabe Keriting,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Lado F1
Cabe Keriting,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Lado F1
Cabe Keriting,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Lado F1
Cabe Keriting,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Lado F1
Cabe Keriting,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Lado F1
Cabe Keriting,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Lado F1
Cabe Keriting,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Lado F1
Cabe Keriting,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Lado F1
Cabe Keriting,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Lado F1
Cabe Keriting,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Lado F1
Cabe Keriting,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Lado F1
Cabe Keriting,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Lado F1
Cabe Keriting,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Lado F1
Cabe Keriting,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Lado F1
Cabe Keriting,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Lado F1
Cabe Keriting,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Lado F1
Cabe Keriting,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Lado F1
Cabe Keriting,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Lado F1
Cabe Keriting,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Lado F1
Cabe Keriting,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Lado F1
Cabe Keriting,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Lado F1
Cabe Keriting,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Lado F1
Cabe Keriting,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Lado F1
Cabe Keriting,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Lado F1
Cabe Keriting,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Lado F1
Cabe Keriting,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Lado F1
Cabe Keriting,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Kencana
Cabe Keriting,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Kencana
Cabe Keriting,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Kencana
Cabe Keriting,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Kencana
Cabe Keriting,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Kencana
Cabe Keriting,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Kencana
Cabe Keriting,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Kencana
Cabe Keriting,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Kencana
Cabe Keriting,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Kencana
Cabe Keriting,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Kencana
Cabe Keriting,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Kencana
Cabe Keriting,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Kencana
Cabe Keriting,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Kencana
Cabe Keriting,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Kencana
Cabe Keriting,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Kencana
Cabe Keriting,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Kencana
Cabe Keriting,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Kencana
Cabe Keriting,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Kencana
Cabe Keriting,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Kencana
Cabe Keriting,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Kencana
Cabe Keriting,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Kencana
Cabe Keriting,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Kencana
Cabe Keriting,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Kencana
Cabe Keriting,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Kencana
Cabe Keriting,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Kencana
Cabe Keriting,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Kencana
Cabe Keriting,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Kencana
Cabe Besar,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Tanjung 2
Cabe Besar,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Tanjung 2
Cabe Besar,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Tanjung 2
Cabe Besar,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Tanjung 2
Cabe Besar,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Tanjung 2
Cabe Besar,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Tanjung 2
Cabe Besar,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Tanjung 2
Cabe Besar,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Tanjung 2
Cabe Besar,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Tanjung 2
Cabe Besar,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Tanjung 2
Cabe Besar,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Tanjung 2
Cabe Besar,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Tanjung 2
Cabe Besar,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Tanjung 2
Cabe Besar,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Tanjung 2
Cabe Besar,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Tanjung 2
Cabe Besar,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Tanjung 2
Cabe Besar,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Tanjung 2
Cabe Besar,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Tanjung 2
Cabe Besar,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Tanjung 2
Cabe Besar,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Tanjung 2
Cabe Besar,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Tanjung 2
Cabe Besar,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Tanjung 2
Cabe Besar,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Tanjung 2
Cabe Besar,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Tanjung 2
Cabe Besar,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Tanjung 2
Cabe Besar,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Tanjung 2
Cabe Besar,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Tanjung 2
Cabe Besar,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Gada MK F1
Cabe Besar,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Gada MK F1
Cabe Besar,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Gada MK F1
Cabe Besar,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Gada MK F1
Cabe Besar,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Gada MK F1
Cabe Besar,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Gada MK F1
Cabe Besar,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Gada MK F1
Cabe Besar,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Gada MK F1
Cabe Besar,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Gada MK F1
Cabe Besar,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Gada MK F1
Cabe Besar,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Gada MK F1
Cabe Besar,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Gada MK F1
Cabe Besar,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Gada MK F1
Cabe Besar,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Gada MK F1
Cabe Besar,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Gada MK F1
Cabe Besar,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Gada MK F1
Cabe Besar,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Gada MK F1
Cabe Besar,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Gada MK F1
Cabe Besar,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Gada MK F1
Cabe Besar,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Gada MK F1
Cabe Besar,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Gada MK F1
Cabe Besar,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Gada MK F1
Cabe Besar,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Gada MK F1
Cabe Besar,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Gada MK F1
Cabe Besar,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Gada MK F1
Cabe Besar,Muara Batu,5.71,,1941.0,10.0,Sedang,0.0,Gada MK F1
Cabe Besar,Dewantara,5.72,,1932.0,9.0,Sedang,0.0,Gada MK F1
Cabe Besar,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Laris F1
